sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-001,ABR,1348,139,0.10311572700296735
OBS-006-001,ABRA,1348,1,7.41839762611276e-4
OBS-006-001,ABRACL,1348,467,0.3464391691394659
OBS-006-001,ABRAXAS1,1348,48,0.03560830860534125
OBS-006-001,ABRAXAS2,1348,77,0.05712166172106825
OBS-006-001,ABT1,1348,104,0.0771513353115727
OBS-006-001,ABTB1,1348,110,0.08160237388724036
OBS-006-001,ABTB2,1348,204,0.1513353115727003
OBS-006-001,AC001226.2,1348,82,0.06083086053412463
OBS-006-001,AC002094.3,1348,1,7.41839762611276e-4
OBS-006-001,AC002310.4,1348,10,0.00741839762611276
OBS-006-001,AC002310.5,1348,2,0.001483679525222552
OBS-006-001,AC002985.1,1348,2,0.001483679525222552
OBS-006-001,AC003002.2,1348,6,0.004451038575667656
OBS-006-001,AC003002.3,1348,1,7.41839762611276e-4
OBS-006-001,AC003005.1,1348,1,7.41839762611276e-4
OBS-006-001,AC003006.1,1348,2,0.001483679525222552
OBS-006-001,AC003688.1,1348,1,7.41839762611276e-4
OBS-006-001,AC004076.1,1348,3,0.002225519287833828
OBS-006-001,AC004556.1,1348,41,0.030415430267062313
OBS-006-001,AC004593.3,1348,1,7.41839762611276e-4
OBS-006-001,AC004754.1,1348,1,7.41839762611276e-4
OBS-006-001,AC004805.1,1348,2,0.001483679525222552
OBS-006-001,AC004832.3,1348,1,7.41839762611276e-4
OBS-006-001,AC004922.1,1348,4,0.002967359050445104
OBS-006-001,AC005041.1,1348,2,0.001483679525222552
OBS-006-001,AC005154.6,1348,47,0.034866468842729974
OBS-006-001,AC005258.1,1348,38,0.028189910979228485
OBS-006-001,AC005324.4,1348,1,7.41839762611276e-4
OBS-006-001,AC005520.1,1348,3,0.002225519287833828
OBS-006-001,AC005670.2,1348,17,0.012611275964391691
OBS-006-001,AC005697.1,1348,2,0.001483679525222552
OBS-006-001,AC005702.1,1348,35,0.02596439169139466
OBS-006-001,AC005726.1,1348,27,0.020029673590504452
OBS-006-001,AC005779.2,1348,1,7.41839762611276e-4
OBS-006-001,AC005832.4,1348,1,7.41839762611276e-4
OBS-006-001,AC005833.2,1348,2,0.001483679525222552
OBS-006-001,AC005943.1,1348,5,0.00370919881305638
OBS-006-001,AC006030.1,1348,94,0.06973293768545995
OBS-006-001,AC006064.6,1348,1,7.41839762611276e-4
OBS-006-001,AC006254.1,1348,3,0.002225519287833828
OBS-006-001,AC006486.1,1348,2,0.001483679525222552
OBS-006-001,AC006518.7,1348,1,7.41839762611276e-4
OBS-006-001,AC006538.2,1348,1,7.41839762611276e-4
OBS-006-001,AC006978.2,1348,163,0.12091988130563798
OBS-006-001,AC007040.2,1348,8,0.005934718100890208
OBS-006-001,AC007192.1,1348,1,7.41839762611276e-4
OBS-006-001,AC007240.1,1348,38,0.028189910979228485
OBS-006-001,AC007325.4,1348,15,0.01112759643916914
OBS-006-001,AC007326.4,1348,3,0.002225519287833828
OBS-006-001,AC007731.5,1348,1,7.41839762611276e-4
OBS-006-001,AC007846.2,1348,6,0.004451038575667656
OBS-006-001,AC008481.3,1348,1,7.41839762611276e-4
