sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-002,A1BG,6760,1884,0.278698224852071
OBS-006-002,A1CF,6760,1,1.4792899408284024e-4
OBS-006-002,A2M,6760,111,0.016420118343195265
OBS-006-002,A2ML1,6760,3,4.437869822485207e-4
OBS-006-002,A3GALT2,6760,51,0.007544378698224852
OBS-006-002,AAAS,6760,412,0.06094674556213018
OBS-006-002,AACS,6760,701,0.103698224852071
OBS-006-002,AAED1,6760,524,0.07751479289940828
OBS-006-002,AAGAB,6760,1606,0.2375739644970414
OBS-006-002,AAK1,6760,4405,0.6516272189349113
OBS-006-002,AAMDC,6760,1151,0.17026627218934912
OBS-006-002,AAMP,6760,863,0.12766272189349112
OBS-006-002,AANAT,6760,5,7.396449704142012e-4
OBS-006-002,AAR2,6760,700,0.10355029585798817
OBS-006-002,AARD,6760,10,0.0014792899408284023
OBS-006-002,AARS,6760,1293,0.19127218934911241
OBS-006-002,AARS2,6760,177,0.026183431952662723
OBS-006-002,AARSD1,6760,150,0.022189349112426034
OBS-006-002,AASDH,6760,711,0.10517751479289941
OBS-006-002,AASDHPPT,6760,1185,0.1752958579881657
OBS-006-002,AASS,6760,12,0.0017751479289940828
OBS-006-002,AATF,6760,3072,0.4544378698224852
OBS-006-002,AATK,6760,2,2.958579881656805e-4
OBS-006-002,ABAT,6760,378,0.05591715976331361
OBS-006-002,ABCA1,6760,213,0.03150887573964497
OBS-006-002,ABCA10,6760,97,0.014349112426035503
OBS-006-002,ABCA12,6760,14,0.0020710059171597634
OBS-006-002,ABCA13,6760,1,1.4792899408284024e-4
OBS-006-002,ABCA2,6760,356,0.052662721893491124
OBS-006-002,ABCA3,6760,326,0.048224852071005915
OBS-006-002,ABCA4,6760,1,1.4792899408284024e-4
OBS-006-002,ABCA5,6760,1065,0.15754437869822485
OBS-006-002,ABCA6,6760,2,2.958579881656805e-4
OBS-006-002,ABCA7,6760,558,0.08254437869822485
OBS-006-002,ABCA9,6760,2,2.958579881656805e-4
OBS-006-002,ABCB1,6760,560,0.08284023668639054
OBS-006-002,ABCB10,6760,938,0.13875739644970414
OBS-006-002,ABCB4,6760,2,2.958579881656805e-4
OBS-006-002,ABCB5,6760,5,7.396449704142012e-4
OBS-006-002,ABCB6,6760,49,0.007248520710059172
OBS-006-002,ABCB7,6760,1594,0.23579881656804733
OBS-006-002,ABCB8,6760,416,0.06153846153846154
OBS-006-002,ABCB9,6760,116,0.017159763313609466
OBS-006-002,ABCC1,6760,3245,0.48002958579881655
OBS-006-002,ABCC10,6760,348,0.051479289940828406
OBS-006-002,ABCC11,6760,8,0.001183431952662722
OBS-006-002,ABCC12,6760,2,2.958579881656805e-4
OBS-006-002,ABCC2,6760,43,0.00636094674556213
OBS-006-002,ABCC3,6760,46,0.006804733727810651
OBS-006-002,ABCC4,6760,743,0.1099112426035503
OBS-006-002,ABCC5,6760,639,0.09452662721893491
OBS-006-002,ABCC6,6760,34,0.005029585798816568
OBS-006-002,ABCC9,6760,4,5.91715976331361e-4
OBS-006-002,ABCD1,6760,134,0.01982248520710059
OBS-006-002,ABCD2,6760,2220,0.32840236686390534
OBS-006-002,ABCD3,6760,967,0.1430473372781065
OBS-006-002,ABCD4,6760,964,0.142603550295858
OBS-006-002,ABCE1,6760,1472,0.21775147928994082
OBS-006-002,ABCF1,6760,2159,0.3193786982248521
OBS-006-002,ABCF2,6760,23,0.0034023668639053253
OBS-006-002,ABCF2.1,6760,228,0.03372781065088758
OBS-006-002,ABCF3,6760,300,0.04437869822485207
OBS-006-002,ABCG1,6760,829,0.12263313609467455
OBS-006-002,ABCG2,6760,15,0.0022189349112426036
OBS-006-002,ABCG4,6760,2,2.958579881656805e-4
OBS-006-002,ABCG5,6760,1,1.4792899408284024e-4
OBS-006-002,ABCG8,6760,4,5.91715976331361e-4
OBS-006-002,ABHD1,6760,17,0.002514792899408284
OBS-006-002,ABHD10,6760,716,0.1059171597633136
OBS-006-002,ABHD11,6760,255,0.03772189349112426
OBS-006-002,ABHD12,6760,1598,0.2363905325443787
OBS-006-002,ABHD12B,6760,1,1.4792899408284024e-4
OBS-006-002,ABHD13,6760,940,0.1390532544378698
OBS-006-002,ABHD14A,6760,665,0.09837278106508876
OBS-006-002,ABHD14A-ACY1,6760,37,0.005473372781065089
