sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-003,A1BG,5740,839,0.14616724738675957
OBS-006-003,A1CF,5740,1,1.7421602787456446e-4
OBS-006-003,A2M,5740,66,0.011498257839721254
OBS-006-003,A2ML1,5740,3,5.226480836236934e-4
OBS-006-003,A3GALT2,5740,12,0.0020905923344947735
OBS-006-003,A4GALT,5740,14,0.0024390243902439024
OBS-006-003,AAAS,5740,705,0.12282229965156795
OBS-006-003,AACS,5740,584,0.10174216027874565
OBS-006-003,AADACL3,5740,1,1.7421602787456446e-4
OBS-006-003,AAED1,5740,736,0.12822299651567945
OBS-006-003,AAGAB,5740,1886,0.32857142857142857
OBS-006-003,AAK1,5740,4655,0.8109756097560976
OBS-006-003,AAMDC,5740,1258,0.21916376306620208
OBS-006-003,AAMP,5740,1116,0.19442508710801393
OBS-006-003,AANAT,5740,6,0.0010452961672473868
OBS-006-003,AAR2,5740,622,0.10836236933797909
OBS-006-003,AARD,5740,12,0.0020905923344947735
OBS-006-003,AARS,5740,678,0.11811846689895471
OBS-006-003,AARS2,5740,202,0.03519163763066202
OBS-006-003,AARSD1,5740,260,0.04529616724738676
OBS-006-003,AASDH,5740,654,0.11393728222996516
OBS-006-003,AASDHPPT,5740,1989,0.3465156794425087
OBS-006-003,AASS,5740,34,0.005923344947735192
OBS-006-003,AATF,5740,3004,0.5233449477351917
OBS-006-003,AATK,5740,2,3.484320557491289e-4
OBS-006-003,ABAT,5740,326,0.05679442508710801
OBS-006-003,ABCA1,5740,18,0.0031358885017421603
OBS-006-003,ABCA10,5740,29,0.005052264808362369
OBS-006-003,ABCA12,5740,62,0.010801393728222997
OBS-006-003,ABCA13,5740,6,0.0010452961672473868
OBS-006-003,ABCA2,5740,266,0.046341463414634146
OBS-006-003,ABCA3,5740,516,0.08989547038327526
OBS-006-003,ABCA4,5740,2,3.484320557491289e-4
OBS-006-003,ABCA5,5740,449,0.07822299651567945
OBS-006-003,ABCA6,5740,3,5.226480836236934e-4
OBS-006-003,ABCA7,5740,478,0.08327526132404181
OBS-006-003,ABCA9,5740,3,5.226480836236934e-4
OBS-006-003,ABCB1,5740,279,0.04860627177700348
OBS-006-003,ABCB10,5740,1284,0.22369337979094076
OBS-006-003,ABCB11,5740,1,1.7421602787456446e-4
OBS-006-003,ABCB4,5740,2,3.484320557491289e-4
OBS-006-003,ABCB5,5740,4,6.968641114982578e-4
OBS-006-003,ABCB6,5740,18,0.0031358885017421603
OBS-006-003,ABCB7,5740,1134,0.1975609756097561
OBS-006-003,ABCB8,5740,668,0.11637630662020906
OBS-006-003,ABCB9,5740,89,0.015505226480836238
OBS-006-003,ABCC1,5740,2653,0.46219512195121953
OBS-006-003,ABCC10,5740,537,0.09355400696864112
OBS-006-003,ABCC11,5740,7,0.0012195121951219512
OBS-006-003,ABCC12,5740,1,1.7421602787456446e-4
OBS-006-003,ABCC2,5740,20,0.003484320557491289
OBS-006-003,ABCC3,5740,6,0.0010452961672473868
OBS-006-003,ABCC4,5740,1128,0.19651567944250872
OBS-006-003,ABCC5,5740,565,0.09843205574912892
OBS-006-003,ABCC6,5740,15,0.002613240418118467
OBS-006-003,ABCC8,5740,2,3.484320557491289e-4
OBS-006-003,ABCC9,5740,2,3.484320557491289e-4
OBS-006-003,ABCD1,5740,100,0.017421602787456445
OBS-006-003,ABCD2,5740,2743,0.4778745644599303
OBS-006-003,ABCD3,5740,1164,0.20278745644599303
OBS-006-003,ABCD4,5740,688,0.11986062717770035
OBS-006-003,ABCE1,5740,2699,0.47020905923344947
OBS-006-003,ABCF1,5740,2810,0.4895470383275261
OBS-006-003,ABCF2,5740,33,0.005749128919860627
OBS-006-003,ABCF2.1,5740,442,0.0770034843205575
OBS-006-003,ABCF3,5740,442,0.0770034843205575
OBS-006-003,ABCG1,5740,117,0.02038327526132404
OBS-006-003,ABCG2,5740,22,0.003832752613240418
OBS-006-003,ABCG5,5740,1,1.7421602787456446e-4
OBS-006-003,ABCG8,5740,6,0.0010452961672473868
OBS-006-003,ABHD1,5740,14,0.0024390243902439024
OBS-006-003,ABHD10,5740,779,0.1357142857142857
OBS-006-003,ABHD11,5740,465,0.08101045296167247
OBS-006-003,ABHD12,5740,1772,0.3087108013937282
OBS-006-003,ABHD12B,5740,1,1.7421602787456446e-4
OBS-006-003,ABHD13,5740,890,0.15505226480836237
OBS-006-003,ABHD14A,5740,1321,0.23013937282229965
OBS-006-003,ABHD14A-ACY1,5740,38,0.00662020905923345
OBS-006-003,ABHD14B,5740,609,0.10609756097560975
OBS-006-003,ABHD15,5740,346,0.060278745644599306
OBS-006-003,ABHD16A,5740,91,0.015853658536585366
OBS-006-003,ABHD17A,5740,3664,0.6383275261324042
OBS-006-003,ABHD17B,5740,1487,0.25905923344947734
OBS-006-003,ABHD17C,5740,57,0.009930313588850175
OBS-006-003,ABHD18,5740,2431,0.4235191637630662
OBS-006-003,ABHD2,5740,1762,0.30696864111498257
OBS-006-003,ABHD3,5740,3554,0.6191637630662021
OBS-006-003,ABHD4,5740,195,0.03397212543554007
OBS-006-003,ABHD5,5740,1249,0.21759581881533102
OBS-006-003,ABHD6,5740,319,0.055574912891986065
OBS-006-003,ABHD8,5740,226,0.03937282229965157
OBS-006-003,ABI1,5740,3905,0.6803135888501742
OBS-006-003,ABI2,5740,1971,0.34337979094076654
OBS-006-003,ABI3,5740,2772,0.48292682926829267
OBS-006-003,ABI3BP,5740,9,0.0015679442508710801
OBS-006-003,ABL1,5740,1428,0.24878048780487805
OBS-006-003,ABL2,5740,654,0.11393728222996516
OBS-006-003,ABLIM1,5740,575,0.10017421602787456
OBS-006-003,ABLIM2,5740,15,0.002613240418118467
OBS-006-003,ABLIM3,5740,2,3.484320557491289e-4
OBS-006-003,ABR,5740,2176,0.3790940766550523
OBS-006-003,ABRA,5740,1,1.7421602787456446e-4
OBS-006-003,ABRACL,5740,4829,0.8412891986062718
OBS-006-003,ABRAXAS1,5740,342,0.059581881533101046
OBS-006-003,ABRAXAS2,5740,1148,0.2
OBS-006-003,ABT1,5740,1969,0.3430313588850174
OBS-006-003,ABTB1,5740,526,0.09163763066202091
OBS-006-003,ABTB2,5740,2127,0.3705574912891986
OBS-006-003,AC001226.2,5740,355,0.06184668989547038
OBS-006-003,AC002094.3,5740,5,8.710801393728223e-4
OBS-006-003,AC002310.4,5740,47,0.008188153310104529
OBS-006-003,AC002310.5,5740,10,0.0017421602787456446
OBS-006-003,AC002985.1,5740,9,0.0015679442508710801
OBS-006-003,AC002996.1,5740,14,0.0024390243902439024
OBS-006-003,AC003002.1,5740,2,3.484320557491289e-4
OBS-006-003,AC003002.2,5740,62,0.010801393728222997
OBS-006-003,AC003002.3,5740,4,6.968641114982578e-4
OBS-006-003,AC003005.1,5740,4,6.968641114982578e-4
OBS-006-003,AC003006.1,5740,82,0.014285714285714285
