sample_name,gene,no_of_cells,no_of_pos_cells,frac_of_pos_cells
OBS-006-005,AC005726.1,379,4,0.010554089709762533
OBS-006-005,AC005833.2,379,1,0.002638522427440633
OBS-006-005,AC005943.1,379,2,0.005277044854881266
OBS-006-005,AC006030.1,379,9,0.023746701846965697
OBS-006-005,AC006978.2,379,20,0.052770448548812667
OBS-006-005,AC007040.2,379,1,0.002638522427440633
OBS-006-005,AC007240.1,379,22,0.05804749340369393
OBS-006-005,AC007325.4,379,1,0.002638522427440633
OBS-006-005,AC007326.4,379,1,0.002638522427440633
OBS-006-005,AC008397.1,379,1,0.002638522427440633
OBS-006-005,AC008397.2,379,2,0.005277044854881266
OBS-006-005,AC008537.1,379,2,0.005277044854881266
OBS-006-005,AC008695.1,379,1,0.002638522427440633
OBS-006-005,AC008758.1,379,2,0.005277044854881266
OBS-006-005,AC008758.5,379,1,0.002638522427440633
OBS-006-005,AC009086.2,379,2,0.005277044854881266
OBS-006-005,AC009163.4,379,1,0.002638522427440633
OBS-006-005,AC009690.1,379,7,0.018469656992084433
OBS-006-005,AC010132.3,379,1,0.002638522427440633
OBS-006-005,AC010325.1,379,1,0.002638522427440633
OBS-006-005,AC010326.2,379,1,0.002638522427440633
OBS-006-005,AC010422.3,379,1,0.002638522427440633
OBS-006-005,AC010422.6,379,2,0.005277044854881266
OBS-006-005,AC010522.1,379,2,0.005277044854881266
OBS-006-005,AC010616.1,379,2,0.005277044854881266
OBS-006-005,AC011043.1,379,10,0.026385224274406333
OBS-006-005,AC011452.1,379,2,0.005277044854881266
OBS-006-005,AC012184.2,379,2,0.005277044854881266
OBS-006-005,AC013394.1,379,170,0.44854881266490765
OBS-006-005,AC015802.6,379,7,0.018469656992084433
OBS-006-005,AC015813.2,379,18,0.047493403693931395
OBS-006-005,AC017083.3,379,7,0.018469656992084433
OBS-006-005,AC018523.2,379,1,0.002638522427440633
OBS-006-005,AC019117.3,379,4,0.010554089709762533
OBS-006-005,AC022384.1,379,5,0.013192612137203167
OBS-006-005,AC022400.7,379,1,0.002638522427440633
OBS-006-005,AC022826.2,379,1,0.002638522427440633
OBS-006-005,AC023055.1,379,1,0.002638522427440633
OBS-006-005,AC023509.3,379,3,0.0079155672823219
OBS-006-005,AC025165.3,379,1,0.002638522427440633
OBS-006-005,AC025283.3,379,1,0.002638522427440633
OBS-006-005,AC025287.4,379,1,0.002638522427440633
OBS-006-005,AC026316.5,379,1,0.002638522427440633
OBS-006-005,AC026398.1,379,2,0.005277044854881266
OBS-006-005,AC026464.3,379,1,0.002638522427440633
OBS-006-005,AC026464.4,379,2,0.005277044854881266
OBS-006-005,AC027644.4,379,47,0.12401055408970976
OBS-006-005,AC040162.1,379,2,0.005277044854881266
OBS-006-005,AC058822.1,379,32,0.08443271767810026
OBS-006-005,AC068234.1,379,2,0.005277044854881266
OBS-006-005,AC068580.4,379,1,0.002638522427440633
OBS-006-005,AC068631.2,379,4,0.010554089709762533
OBS-006-005,AC068775.1,379,3,0.0079155672823219
OBS-006-005,AC068790.8,379,1,0.002638522427440633
OBS-006-005,AC068831.7,379,1,0.002638522427440633
OBS-006-005,AC069368.1,379,6,0.0158311345646438
OBS-006-005,AC073111.5,379,2,0.005277044854881266
OBS-006-005,AC073610.3,379,2,0.005277044854881266
OBS-006-005,AC073896.1,379,4,0.010554089709762533
OBS-006-005,AC078927.1,379,1,0.002638522427440633
OBS-006-005,AC079447.1,379,6,0.0158311345646438
OBS-006-005,AC079594.2,379,18,0.047493403693931395
OBS-006-005,AC084337.2,379,5,0.013192612137203167
OBS-006-005,AC087632.1,379,1,0.002638522427440633
OBS-006-005,AC090360.1,379,3,0.0079155672823219
OBS-006-005,AC090517.4,379,2,0.005277044854881266
OBS-006-005,AC090527.2,379,1,0.002638522427440633
OBS-006-005,AC091057.6,379,32,0.08443271767810026
OBS-006-005,AC091551.1,379,1,0.002638522427440633
OBS-006-005,AC091959.3,379,8,0.021108179419525065
OBS-006-005,AC092329.3,379,15,0.0395778364116095
OBS-006-005,AC092587.1,379,1,0.002638522427440633
OBS-006-005,AC092718.8,379,1,0.002638522427440633
OBS-006-005,AC092835.1,379,2,0.005277044854881266
OBS-006-005,AC093323.1,379,7,0.018469656992084433
OBS-006-005,AC093423.3,379,3,0.0079155672823219
OBS-006-005,AC093668.2,379,3,0.0079155672823219
OBS-006-005,AC093827.5,379,2,0.005277044854881266
OBS-006-005,AC098484.3,379,2,0.005277044854881266
OBS-006-005,AC098850.3,379,22,0.05804749340369393
OBS-006-005,AC099329.3,379,3,0.0079155672823219
OBS-006-005,AC099489.1,379,6,0.0158311345646438
OBS-006-005,AC099518.3,379,2,0.005277044854881266
OBS-006-005,AC099850.2,379,11,0.029023746701846966
OBS-006-005,AC104109.3,379,13,0.03430079155672823
OBS-006-005,AC104304.1,379,1,0.002638522427440633
OBS-006-005,AC104389.4,379,2,0.005277044854881266
OBS-006-005,AC104472.3,379,1,0.002638522427440633
