gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,mlog10p
MATK,1.3341177338217997e-5,0.3379379044124819,0.095,0.021,0.26564952315859675,4.874805842913509
RARRES3,1.3368461649136446e-5,0.4515967493369193,0.423,0.266,0.2661928083576049,4.873918565492677
MX1,1.3639524520321824e-5,0.4223849654332644,0.109,0.029,0.27159021224864816,4.865200769107674
RBM10,1.541575753778214e-5,0.29264080061356984,0.163,0.063,0.306958564092318,4.8120351289721786
RPL27,1.5649906141145414e-5,-0.2869423770904702,0.924,0.905,0.31162093108248745,4.805488262750431
PDCD4,1.5817935761557405e-5,-0.4404715167037754,0.435,0.565,0.314966736884131,4.800850192510792
KLF7,1.7226306976757796e-5,-0.4755329268550197,0.092,0.195,0.3430102245212012,4.7638078178232
EIF2AK3,1.8070433332956067e-5,-0.6087046793611576,0.22,0.327,0.3598184685258212,4.743031432837233
TXK,1.831156677387373e-5,0.25644803575101577,0.054,0.003,0.3646199176013737,4.737274495013597
SIRPG,1.8533562812012764e-5,0.33023386007324973,0.272,0.14,0.36904030271279814,4.732041085761318
CASP1,2.0246573698816225e-5,0.3443258405782664,0.215,0.103,0.4031497754908287,4.693648461318374
MPC1,2.028346131302424e-5,0.2800147099034028,0.191,0.082,0.40388428166493867,4.692857931938383
PTPRJ,2.030834721039961e-5,0.42329840395937834,0.757,0.639,0.4043798096534771,4.692325420101411
CCL22,2.0426494194160194e-5,-0.6705996221850549,0.064,0.153,0.4067323523941178,4.689806165074916
ARFGEF2,2.0721999796483196e-5,-0.5276336123316401,0.17,0.28,0.4126164599475734,4.6835683348984025
RAB3GAP1,2.2843811572004842e-5,0.48485657570965546,0.426,0.28,0.45486597602176043,4.641231430786028
ATP5IF1,2.296017937975715e-5,-0.36658268045856524,0.66,0.718,0.45718309180972433,4.639024723271696
PIK3R1,2.3138267281952902e-5,0.46893971735326634,0.433,0.288,0.4607291781182462,4.6356691664759655
PLEKHA2,2.3160695113402417e-5,0.2690203973605465,0.61,0.409,0.46117576109806896,4.635248410428852
SLC7A5,2.33418790168521e-5,0.37597493461617226,0.591,0.422,0.46478349498355903,4.631864186259646
CHST12,2.3720392099998882e-5,0.3989301392663014,0.378,0.227,0.47232044749517776,4.624878136325548
G6PD,2.3927948222521447e-5,0.28260150164649944,0.128,0.042,0.47645330500684707,4.621094539741764
OCIAD2,2.3943227013879023e-5,0.3684366782409474,0.496,0.338,0.4767575363003591,4.620817316758653
INPP4A,2.6532620918303647e-5,0.3495791727807146,0.255,0.129,0.5283175477252622,4.576219847864026
ABI3,2.6558401635957435e-5,0.29246351140526583,0.123,0.04,0.5288308933751844,4.575798065658375
ARHGAP9,2.6937815990437678e-5,0.3084889124512519,0.374,0.216,0.5363857920015951,4.569637618032139
SKAP1,2.7186871646846193e-5,0.36892809981748576,0.714,0.573,0.5413449882320014,4.56564076316192
ABLIM1,2.7355269876768182e-5,0.517894893845964,0.161,0.066,0.544698133786208,4.56295899627993
PPP4C,2.7505393143554324e-5,0.305715793103543,0.47,0.303,0.5476873882744537,4.5605821431571885
WDR33,2.7805320353022286e-5,0.37395419232078053,0.43,0.274,0.5536595388693798,4.555872096927725
TRIM9,2.7909499386002023e-5,-0.3573179338790011,0.035,0.111,0.5557339517740723,4.554247953401973
N4BP2L1,2.8104119647003948e-5,-0.5286693168735658,0.194,0.303,0.5596092304111426,4.551230014300468
PKM,2.837431396498681e-5,-0.37984431973881616,0.667,0.731,0.5649893396708173,4.547074630056879
JAK1,2.8445058299440484e-5,0.3742376126537983,0.707,0.591,0.5663980008584589,4.545993171789008
